louvain_cluster,count,top_gt_class,n_gt_classes
672,12,meat_loaf,6
400,12,leafhopper,8
402,12,English_setter,5
169,12,traffic_light,5
476,12,dishrag,11
174,12,horned_viper,1
627,12,wallet,6
473,12,Lakeland_terrier,7
470,12,keeshond,3
365,12,Kerry_blue_terrier,6
626,12,analog_clock,7
109,12,African_chameleon,5
428,12,vizsla,4
426,12,sea_slug,7
494,12,thresher,7
775,12,motor_scooter,6
652,12,screen,3
204,12,American_egret,8
430,12,stage,5
206,12,diaper,2
776,12,waffle_iron,3
780,12,loudspeaker,5
749,12,pitcher,3
751,12,trifle,8
791,12,punching_bag,9
266,12,Brabancon_griffon,4
314,12,otterhound,7
715,12,barrow,5
761,12,wing,1
709,12,window_screen,3
763,12,tray,8
34,11,combination_lock,5
219,11,hoopskirt,6
750,11,nipple,5
59,11,spotlight,6
316,11,tray,6
438,11,Saluki,4
643,11,sea_anemone,5
642,11,pole,2
123,11,pier,4
312,11,vizsla,7
262,11,space_heater,6
146,11,night_snake,4
524,11,ocarina,4
539,11,chiton,3
270,11,Maltese_dog,4
499,11,long-horned_beetle,5
612,11,park_bench,7
158,11,clumber,8
580,11,indri,5
338,11,Tibetan_mastiff,6
334,11,English_foxhound,10
349,11,otterhound,3
533,11,otter,5
286,11,Airedale,5
135,11,horned_viper,5
565,11,breastplate,8
516,11,lacewing,4
498,11,long-horned_beetle,3
237,11,dishwasher,7
84,11,radiator,4
86,11,plunger,5
479,11,grey_fox,4
453,11,Polaroid_camera,5
166,11,green_mamba,2
226,11,hoopskirt,10
676,11,shoe_shop,4
83,11,computer_keyboard,7
76,11,mud_turtle,5
398,11,hook,2
413,11,giant_schnauzer,4
408,11,iron,3
658,11,prison,4
624,11,knot,7
635,11,analog_clock,3
638,11,consomme,5
623,11,water_jug,10
446,11,Maltese_dog,6
20,11,cup,9
24,11,Polaroid_camera,6
805,11,castle,3
153,11,king_snake,11
31,11,stingray,11
29,11,ballpoint,6
133,10,hand-held_computer,4
529,10,odometer,5
132,10,howler_monkey,7
573,10,squirrel_monkey,3
351,10,dishrag,7
586,10,bathing_cap,6
593,10,analog_clock,4
275,10,soap_dispenser,8
501,10,ballpoint,4
500,10,long-horned_beetle,3
287,10,Cardigan,7
579,10,mongoose,4
607,10,analog_clock,9
596,10,analog_clock,10
46,10,ringneck_snake,4
773,10,hand_blower,5
716,10,pot,7
667,10,waffle_iron,5
45,10,Greater_Swiss_Mountain_dog,7
759,10,ocarina,3
755,10,parallel_bars,3
783,10,mashed_potato,4
649,10,water_jug,2
646,10,water_jug,3
216,10,hoopskirt,8
208,10,espresso,7
39,10,car_wheel,7
38,10,car_wheel,6
260,10,mailbag,6
735,10,caldron,2
537,10,pier,3
145,10,green_mamba,2
277,10,Japanese_spaniel,7
274,10,Maltese_dog,3
541,10,weasel,2
543,10,moving_van,6
224,10,four-poster,8
306,10,bloodhound,9
163,10,crayfish,5
177,10,confectionery,2
176,10,diamondback,4
222,10,packet,4
380,10,Lakeland_terrier,6
229,10,titi,3
703,10,shopping_basket,9
92,10,bucket,6
221,10,ladle,4
167,10,cassette_player,4
396,10,hook,2
421,10,spindle,1
252,10,dock,3
399,10,hoopskirt,2
395,10,hook,4
417,10,clumber,3
484,10,parking_meter,5
444,10,Sussex_spaniel,7
121,10,pillow,4
637,10,analog_clock,8
504,10,Saint_Bernard,5
618,10,computer_keyboard,5
331,10,flute,5
127,9,koala,7
442,9,Welsh_springer_spaniel,6
199,9,packet,3
209,9,ballpoint,4
774,9,space_heater,5
757,9,whistle,3
779,9,spotlight,6
782,9,bottlecap,3
731,9,saltshaker,6
730,9,oxygen_mask,3
717,9,milk_can,3
710,9,fig,5
713,9,potpie,3
40,9,brain_coral,4
5,9,caldron,6
803,9,fire_screen,6
768,9,tow_truck,3
654,9,suit,8
668,9,balance_beam,4
126,9,cash_machine,3
106,9,plate_rack,4
630,9,plate,8
628,9,analog_clock,7
122,9,hammer,5
445,9,Irish_water_spaniel,4
113,9,maze,3
118,9,alligator_lizard,7
673,9,ballpoint,3
388,9,Norwich_terrier,5
231,9,slug,2
379,9,Kerry_blue_terrier,6
691,9,hoopskirt,8
682,9,dishrag,8
694,9,hand-held_computer,4
692,9,washer,5
511,9,soap_dispenser,7
513,9,ringlet,2
452,9,velvet,5
223,9,hoopskirt,6
464,9,buckle,7
414,9,mashed_potato,5
490,9,lynx,3
485,9,pitcher,4
589,9,microphone,5
159,9,soup_bowl,7
322,9,bluetick,7
285,9,drumstick,4
329,9,Walker_hound,3
291,9,Afghan_hound,4
318,9,envelope,4
600,9,bookcase,7
522,9,spindle,3
188,9,crane,5
141,9,valley,4
527,9,safe,3
528,9,ocarina,2
147,9,gown,8
566,9,plow,3
156,9,coffee_mug,9
21,9,hair_slide,8
571,9,oxygen_mask,3
26,8,padlock,3
772,8,cloak,2
561,8,patas,8
57,8,cassette,3
56,8,Staffordshire_bullterrier,6
50,8,bulbul,8
800,8,promontory,2
793,8,bucket,2
164,8,screen,4
503,8,palace,2
585,8,lionfish,3
546,8,coyote,4
548,8,pier,5
534,8,ox,4
762,8,nipple,5
753,8,water_jug,4
613,8,shopping_basket,3
189,8,wolf_spider,3
536,8,sleeping_bag,2
8,8,electric_ray,7
265,8,redbone,2
706,8,slide_rule,2
712,8,window_shade,5
301,8,Shetland_sheepdog,6
36,8,maillot,3
217,8,dishrag,4
648,8,space_heater,2
665,8,sandal,5
420,8,koala,1
355,8,vizsla,3
405,8,hoopskirt,8
404,8,hoopskirt,5
374,8,Irish_water_spaniel,5
645,8,space_shuttle,4
112,8,altar,5
120,8,long-horned_beetle,4
625,8,plunger,3
632,8,mixing_bowl,4
15,8,candle,5
10,8,candle,8
238,8,redbone,6
330,8,Walker_hound,4
328,8,fire_screen,4
345,8,otterhound,3
350,8,otterhound,6
347,8,upright,4
340,8,chain_mail,4
325,8,EntleBucher,6
722,8,baseball,3
734,8,stopwatch,5
16,8,Crock_Pot,5
460,8,barracouta,4
98,8,night_snake,7
542,7,weasel,2
173,7,honeycomb,3
171,7,otterhound,7
621,7,computer_keyboard,6
575,7,spotlight,6
157,7,night_snake,5
19,7,stingray,5
758,7,letter_opener,1
796,7,vase,4
582,7,platypus,5
619,7,analog_clock,4
742,7,swimming_trunks,1
130,7,hermit_crab,5
577,7,potter's_wheel,4
560,7,capuchin,5
799,7,park_bench,5
795,7,ladle,6
531,7,bow_tie,5
192,7,dung_beetle,2
714,7,reel,3
721,7,bakery,3
263,7,running_shoe,3
718,7,wool,3
295,7,Afghan_hound,5
294,7,Afghan_hound,5
315,7,bluetick,7
677,7,table_lamp,5
81,7,hay,6
681,7,combination_lock,6
674,7,window_shade,4
269,7,doormat,6
352,7,cairn,3
244,7,window_shade,4
383,7,soft-coated_wheaten_terrier,4
492,7,mongoose,3
68,7,alligator_lizard,3
77,7,vase,2
80,7,platypus,3
662,7,sewing_machine,5
254,7,espresso_maker,1
409,7,miniature_schnauzer,2
257,7,toilet_seat,2
220,7,dishrag,6
631,7,wok,6
431,7,cup,4
447,7,loupe,2
211,7,shower_cap,2
100,7,pot,3
491,7,analog_clock,5
474,7,crane,4
376,7,ox,5
258,7,hartebeest,5
697,7,electric_guitar,5
403,7,rubber_eraser,6
392,7,kuvasz,6
235,7,dishrag,4
